file,organization,doctype_code,matched
Sở Tư pháp Thành phố Hà Nội_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ(...) (3).xlsx,Sở Tư pháp Thành phố Hà Nội,05c,True
Sở Tư pháp Thành phố Hà Nội_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ(...).xlsx,Sở Tư pháp Thành phố Hà Nội,05c,True
Sở Tư pháp Thành phố Hà Nội_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_(...) (2).xlsx,Sở Tư pháp Thành phố Hà Nội,09b,True
Sở Tư pháp Thành phố Hà Nội_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_(...).xlsx,Sở Tư pháp Thành phố Hà Nội,09b,True
Sở Tư pháp Thành phố Hà Nội_10b_TP_CC_Số tổ chức và kết quả hoạt động công(...).xlsx,Sở Tư pháp Thành phố Hà Nội,10b,True
Sở Tư pháp Thành phố Hải Phòng_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VB(...).xlsx,Sở Tư pháp Thành phố Hải Phòng,01c,True
Sở Tư pháp Thành phố Hải Phòng_04c_TP_PBGDPL_Kết quả công tác phổ biến giáo(...).xlsx,Sở Tư pháp Thành phố Hải Phòng,04c,True
Sở Tư pháp Thành phố Hải Phòng_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở(...) copy.xlsx,Sở Tư pháp Thành phố Hải Phòng,05c,True
Sở Tư pháp Thành phố Hải Phòng_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở(...).xlsx,Sở Tư pháp Thành phố Hải Phòng,05c,True
Sở Tư pháp Thành phố Hải Phòng_08b_TP_CNTN_Kết quả đăng ký nuôi con nuôi tr(...).xlsx,Sở Tư pháp Thành phố Hải Phòng,08b,True
Sở Tư pháp Thành phố Hải Phòng_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉ(...).xlsx,Sở Tư pháp Thành phố Hải Phòng,09b,True
Sở Tư pháp Thành phố Hải Phòng_11b_TP_LSTN_Số tổ chức và kết quả hoạt động(...) copy.xlsx,Sở Tư pháp Thành phố Hải Phòng,11b,True
Sở Tư pháp Thành phố Hải Phòng_11b_TP_LSTN_Số tổ chức và kết quả hoạt động(...).xlsx,Sở Tư pháp Thành phố Hải Phòng,11b,True
Sở Tư pháp Thành phố Hồ Chí Minh_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số(...).xlsx,Sở Tư pháp Thành phố Hồ Chí Minh,01c,True
Sở Tư pháp Thành phố Hồ Chí Minh_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải(...) copy.xlsx,Sở Tư pháp Thành phố Hồ Chí Minh,05c,True
Sở Tư pháp Thành phố Hồ Chí Minh_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải(...).xlsx,Sở Tư pháp Thành phố Hồ Chí Minh,05c,True
Sở Tư pháp Thành phố Hồ Chí Minh_09b_TP_CT_Kết quả chứng thực trên địa bàn(...).xlsx,Sở Tư pháp Thành phố Hồ Chí Minh,09b,True
Sở Tư pháp Thành phố Đà Nẵng_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT V(...).xlsx,Sở Tư pháp Thành phố Đà Nẵng,01b,True
Sở Tư pháp Thành phố Đà Nẵng_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQP(...).xlsx,Sở Tư pháp Thành phố Đà Nẵng,01c,True
Sở Tư pháp Thành phố Đà Nẵng_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở c(...).xlsx,Sở Tư pháp Thành phố Đà Nẵng,05c,True
Sở Tư pháp Thành phố Đồng Nai_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT(...).xlsx,Sở Tư pháp Thành phố Đồng Nai,01b,True
Sở Tư pháp Thành phố Đồng Nai_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQ(...) copy.xlsx,Sở Tư pháp Thành phố Đồng Nai,01c,True
Sở Tư pháp Thành phố Đồng Nai_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQ(...).xlsx,Sở Tư pháp Thành phố Đồng Nai,01c,True
Sở Tư pháp Thành phố Đồng Nai_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉn(...).xlsx,Sở Tư pháp Thành phố Đồng Nai,09b,True
Sở Tư pháp Thành phố Đồng Nai_10b_TP_CC_Số tổ chức và kết quả hoạt động côn(...).xlsx,Sở Tư pháp Thành phố Đồng Nai,10b,True
Sở Tư pháp Thành phố Đồng Nai_11c_TP_LSTN_Kết quả hoạt động cấp Chứng chỉ h(...).xlsx,Sở Tư pháp Thành phố Đồng Nai,11c,True
Sở Tư pháp Tỉnh An Giang_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL b(...).xlsx,Sở Tư pháp Tỉnh An Giang,01c,True
Sở Tư pháp Tỉnh An Giang_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở(...).xlsx,Sở Tư pháp Tỉnh An Giang,05c,True
Sở Tư pháp Tỉnh An Giang_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thà(...).xlsx,Sở Tư pháp Tỉnh An Giang,09b,True
Sở Tư pháp Tỉnh Bắc Ninh_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT VBQPP(...).xlsx,Sở Tư pháp Tỉnh Bắc Ninh,01b,True
Sở Tư pháp Tỉnh Bắc Ninh_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL b(...).xlsx,Sở Tư pháp Tỉnh Bắc Ninh,01c,True
Sở Tư pháp Tỉnh Bắc Ninh_04c_TP_PBGDPL_Kết quả công tác phổ biến giáo dục p(...).xlsx,Sở Tư pháp Tỉnh Bắc Ninh,04c,True
Sở Tư pháp Tỉnh Bắc Ninh_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở(...) copy.xlsx,Sở Tư pháp Tỉnh Bắc Ninh,05c,True
Sở Tư pháp Tỉnh Bắc Ninh_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở(...).xlsx,Sở Tư pháp Tỉnh Bắc Ninh,05c,True
Sở Tư pháp Tỉnh Bắc Ninh_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thà(...) copy.xlsx,Sở Tư pháp Tỉnh Bắc Ninh,09b,True
Sở Tư pháp Tỉnh Bắc Ninh_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thà(...).xlsx,Sở Tư pháp Tỉnh Bắc Ninh,09b,True
Sở Tư pháp Tỉnh Bắc Ninh_10b_TP_CC_Số tổ chức và kết quả hoạt động công chứ(...) copy.xlsx,Sở Tư pháp Tỉnh Bắc Ninh,10b,True
Sở Tư pháp Tỉnh Bắc Ninh_10b_TP_CC_Số tổ chức và kết quả hoạt động công chứ(...).xlsx,Sở Tư pháp Tỉnh Bắc Ninh,10b,True
Sở Tư pháp Tỉnh Bắc Ninh_11b_TP_LSTN_Số tổ chức và kết quả hoạt động của cá(...) copy.xlsx,Sở Tư pháp Tỉnh Bắc Ninh,11b,True
Sở Tư pháp Tỉnh Bắc Ninh_11b_TP_LSTN_Số tổ chức và kết quả hoạt động của cá(...).xlsx,Sở Tư pháp Tỉnh Bắc Ninh,11b,True
Sở Tư pháp Tỉnh Bắc Ninh_21a_TP_HTPLDN_Kết quả triển khai công tác hỗ trợ p(...).xlsx,Sở Tư pháp Tỉnh Bắc Ninh,21a,True
Sở Tư pháp Tỉnh Cao Bằng_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL b(...).xlsx,Sở Tư pháp Tỉnh Cao Bằng,01c,True
Sở Tư pháp Tỉnh Cao Bằng_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở(...) copy.xlsx,Sở Tư pháp Tỉnh Cao Bằng,05c,True
Sở Tư pháp Tỉnh Cao Bằng_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở(...).xlsx,Sở Tư pháp Tỉnh Cao Bằng,05c,True
Sở Tư pháp Tỉnh Cao Bằng_08b_TP_CNTN_Kết quả đăng ký nuôi con nuôi trong nư(...).xlsx,Sở Tư pháp Tỉnh Cao Bằng,08b,True
Sở Tư pháp Tỉnh Cao Bằng_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thà(...).xlsx,Sở Tư pháp Tỉnh Cao Bằng,09b,True
